,news_text
669,ที่ อาคารอำนวยการ วิทยาลัยเทคนิคกาฬสินธุ์ จังหวัดกาฬสินธุ์ นายทรงพล ใจกริ่ม ผู้ว่าราชการจังหวัดกาฬสินธุ์ เป็นประธานเปิดกิจกรรม Kick off รณรงค์สร้างเกราะป้องกันด้วยวัคซีนเด็กปลอดภัย เรียนอุ่นใจ ไร้โควิด-19 โดยมี นายอภิชัย ลิมานนท์ นายแพทย์สาธารณสุขจังหวัดกาฬสินธุ์ นายประมวล ไทยงามศิลป์ ผู้อำนวยการโรงพยาบาลกาฬสินธุ์ เจ้าหน้าที่สาธารณสุข และส่วนราชการ เข้าร่วมกิจกรรม
670,โควิดยะลา พุ่งไม่หยุด ติดลำดับ 2 ของประเทศ 776 ราย อำเภอเมืองยะลา มากสุดวันเดียวกว่า 300 ราย หลังปูพรมตรวจเชิงรุก ขณะนายกฯ ห่วงประชาชน ย้ำให้ยึดหลักดูแลตนเองครอบจักรวาล Universal Prevention
671,วันที่ 8 ต.ค.64 ที่โรงพยาบาลเบตง อ.เบตง จ.ยะลา นายกิตติภณ เปรมรัชชานนท์ ปลัดอาวุโส ได้เดินทางไปตรวจเยี่ยมแพทย์ พยาบาล เจ้าหน้าที่โรงพยาบาลเบตงพร้อมทั้งเดินดูการปฏิบัติงานขั้นตอนการฉีดวัคซีนของเจ้าหน้าที่โรงพยาบาลเบตง และยังพูดคุยให้กำลังใจ เด็กนักเรียนที่มาฉีดวัคซีนป้องกันไวรัสโควิด-19 ซึ่งเป็นการฉีดวัคซีนวันแรกของเด็กในพื้นที่อำเภอเบตง
672,นายกเทศมนตรีนครหาดใหญ่ ตรวจเยี่ยมการฉีดวัคซีน Pfizer แก่นักเรียนในเขตเทศบาลนครหาดใหญ่ รองรับภาคเรียนที่ 2/2564
673,"วันนี้ (8 ต.ค.64) นายสุธี ทองแย้ม ผู้ว่าราชการจังหวัดจันทบุรี เดินทางตรวจเยี่ยม และให้กำลังใจนักเรียนที่เข้ารับการฉีดโควิด - 19 ที่หน่วยบริการฉีดวัคซีน ศูนย์ส่งเสริมอัญมณีและเครื่องประดับจังหวัดจันทบุรี โดยวันนี้ มีเด็กนักเรียนอายุ 12 – 18 ปี จากสถานศึกษาในเขตอำเภอเมืองจันทบุรี จำนวน 19 แห่ง 1,064 คน เข้ารับการฉีดวัคซีน ไฟเซอร์"
674,"วันนี้ (8 ต.ค. 64) นายสัมฤทธิ์ กองเงิน รองผู้ว่าราชการจังหวัดชุมพร เป็นประธาน เปิดโครงการ Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม จังหวัดชุมพร ณ โรงเรียนเทศบาล 1 บ้านท่าตะเภา อำเภอเมือง จังหวัดชุมพร โดยเป็นการฉีดวัคซีนป้องกันโรคโควิด-19 ยี่ห้อไฟเซอร์ (Pfizer) ให้แก่เด็กนักเรียน อายุ 12 - 18 ปี ในพื้นที่จังหวัดชุมพร กระจายแต่ละอำเภอ จำนวน 32,941 คน ซึ่งเป็นวัคซีนที่ได้รับจัดสรรจากรัฐบาล ให้ฉีดวัคซีนแก่เด็กนักเรียนทั่วประเทศ เพื่อเตรียมความพร้อมการเปิดภาคเรียนที่ 2 ปีการศึกษา 2564 ซึ่งกำหนดการเปิดภาคเรียนที่ 2 ในเดือนพฤศจิกายนนี้"
675,"วันนี้ (8 ต.ค.64) ณ ศูนย์ฉีดวัคซีน มหาวิทยาลัยสงขลานครินทร์ คึกคักเป็นพิเศษ เนื่องจากผู้ปกครองนำน้องๆ นักเรียนจากโรงเรียนหาดใหญ่วิทยาลัย 2 จำนวน 1,350 คน มารับการฉีดวัคซีน ซึ่งวัคซีนที่ฉีดให้กับเด็กๆ ในวันนี้ คือ ไฟเซอร์ ที่ได้รับการจัดสรรมา"
676,ที่โครงการส่งน้ำและบำรุงรักษามูลล่าง (เขื่อนราษีไศล) สะพานแม่น้ำมูลราษีไศล จังหวัดศรีสะเกษ นายวัฒนา พุฒิชาติ ผู้ว่าราชการจังหวัดศรีสะเกษ/ผู้อำนวยการศูนย์ป้องกันและบรรเทาสาธารณภัยจังหวัดศรีสะเกษ ตรวจติดตามสถานการณ์การระบายน้ำลำน้ำมูล ณ เขื่อนราษีไศล และสถานีวัดระดับน้ำ M5 สะพานราษีไศล ซึ่งการระบายน้ำยังคงไหลได้ต่อเนื่อง จากการประเมินพบว่า มวลน้ำมูลจากนครราชสีมาจะมาถึงเขื่อนราษีไศล อีกประมาณ 3-4 วัน ซึ่งปัจจุบันเขื่อนราษีไศล ได้ยกบานระบายน้ำอย่างต่อเนื่อง
677,นายธนกร วังบุญคงชนะ โฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยต่อกรณีรัฐบาลสหราชอาณาจักรได้ประกาศปรับหรือลดจำนวนประเทศหรือดินแดนที่อยู่ใน “บัญชีสีแดง” หมายถึง ประเทศและดินแดนที่มีความเสี่ยงสูงในการเดินทางไปเยือน ลดลงจาก 54 ประเทศ เหลือ 7 ประเทศ โดยประเทศไทยเป็นหนึ่งในประเทศที่ถูกปลดออกจากบัญชีแดง จะเริ่มมีผลตั้งแต่ เวลา 04.00 น. ของวันที่ 11 ต.ค.64 ตามเวลาสหราชอาณาจักร นั้น
678,นักเรียนโรงเรียนเอกชนสอนศาสนา – วท.อาชีวศึกษาในพื้นที่ จ.ยะลา ตบเท้าเข้ารับการฉีดวัคซีน Pfizer  เข็มแรก ขณะเป้าหมายหมื่นกว่าราย ตลอดสัปดาห์ เป็นไปด้วยความเรียบร้อย ไม่มีรายงานผลข้างเคียง
679,ผู้ตรวจ ศธ. ตรวจเยี่ยมให้กำลังใจนักเรียนที่เข้ารับวัคซีนที่นครพนม วันที่ 8 ตุลาคม 2564 ที่หอประชุมยงใจยุทธ ศาลากลางจังหวัดนครพนม นายธนากร ดอนเหนือ ผู้ตรวจราชการกระทรวงศึกษาธิการ ปฏิบัติหน้าที่ศึกษาธิการภาค สำนักงานศึกษาธิการภาค 11 พร้อมคณะลงพื้นที่ตรวจเยี่ยมให้กำลังใจ นักเรียน อายุ12 - 18 ปี ที่เข้ารับการฉีดวัคซีนไฟเซอร์ เพื่อสร้างภูมิคุ้มกันไวรัสโควิด – 19 และกล่าวขอบคุณบุคคลากรทางการแพทย์ที่ปฏิบัติหน้าที่ดูแลเยาวชนของจังหวัดนครพนม โดยมีนายธันญ์สุธี ภัคธารีรัตน์ ศึกษาธิการจังหวัดนครพนม และเจ้าหน้าที่ที่เกี่ยวข้องร่วมให้การต้อนรับและนำตรวจเยี่ยม
680,"จังหวัดราชบุรีเริ่มฉีดวัคซีนให้นักเรียนที่อายุ 12-18 ปี ที่ลงทะเบียนไว้ 53,000 คน นำร่องวันแรกที่อำเภอเมืองราชบุรี และอำเภอบ้านโป่งรวม 3,000 คน บรรยากาศเป็นไปอย่างคึกคัก"
681,นายกฤต วงศ์น้อย สาธารณสุขอำเภอแม่ลาน้อย เปิดเผยว่า เครือข่ายบริการสุขภาพอำเภอแม่ลาน้อย ได้รับการจัดสรรวัคซีนไฟเซอร์ (Pfizer) จากสาธารณสุขจังหวัดแม่ฮ่องสอน เพื่อดำเนินการฉีดให้กลุ่มเป้าหมายนักเรียนช่วงอายุ 12-18 ปี ซึ่งในวันนี้ (8 ต.ค. 64) กำหนดฉีดวัคซีนนำร่องแห่งแรกของอำเภอแม่ลาน้อย ที่โรงเรียนราชประชานุเคราะห์ 21 ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน ซึ่งเป็นโรงเรียนพักนอนอยู่ประจำแบบสหศึกษา มีนักเรียนกลุ่มเป้าหมาย 303 คน ประสงค์ฉีดวัคซีน 221 คน และมีแผนดำเนินการครั้งถัดไป ในวันที่ (13 ต.ค. 64) ที่โรงเรียนแม่ลาน้อยดรุณสิกข์
682,"สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน เร่งฉีดวัคซีนไฟเซอร์ ให้นักเรียนอายุ 12- 18 ปี ทั้ง 7 อำเภอของจังหวัดแม่ฮ่องสอน โดยมีเป้าหมายทั้งหมด 20,068 ราย เบื้องต้นมีนักเรียนประสงค์จะรับบริก คิดเป็นร้อยละ 64.55 และได้กำหนดแผนปฏิบัติการให้บริการวัคซีนโควิด-19 สำหรับนักเรียนออกเป็น 2 รอบ โดยจะเริ่มฉีดวัคซีนให้กับนักเรียน ในสถานศึกษา ซึ่งกระจายทุกอำเภอตามเป้าหมายโดยรอบที่ 1 จำนวน 8,692 คน ในรอบแรกกำหนดฉีด ตั้งแต่วันที่ 7 ตุลาคม ถึง วันที่ 1 พฤศจิกายน 2564 และรอบที่ 2 จำนวน 4,260 คน แยกเป็น อ.เมือง 1,250 คน อ.ขุนยวม 276 คน อ.ปาย 346 คน อ.แม่สะเรียง 892 คน อ.แม่ลาน้อย 455 คน อ.สบเมย 854 คน และ อ.ปางมะผ้า 187 คน โดยกำหนดการฉีดวัคซีนรอบที่ 2 คณะกรรมการฯ จะได้พิจารณากำหนดวันฉีดในระยะต่อไป"
683,ที่ อาคารอำนวยการ วิทยาลัยเทคนิคกาฬสินธุ์ จ.กาฬสินธุ์ นายทรงพล ใจกริ่ม ผู้ว่าราชการจังหวัดกาฬสินธุ์ เป็นประธานเปิดกิจกรรม Kick off รณรงค์สร้างเกราะป้องกันด้วยวัคซีนเด็กปลอดภัย เรียนอุ่นใจ ไร้โควิด-19 โดยมี นพ.อภิชัย ลิมานนท์ นายแพทย์สาธารณสุขจังหวัดกาฬสินธุ์ นพ.ประมวล ไทยงามศิลป์ ผู้อำนวยการโรงพยาบาลกาฬสินธุ์ นายวิศวชาติ สุวรรณราช ผู้อำนวยการวิทยาลัยเทคนิคกาฬสินธุ์ ศึกษาธิการจังหวัดกาฬสินธุ์ บุคลากรทางการแพทย์ คณะครู นักเรียน วิทยาลัยเทคนิคกาฬสินธุ์ เข้าร่วมกิจกรรมในครั้งนี้
684,วันนี้ (8 ต.ค.64) เวลา 13.00 น. แพทย์หญิง กันตินันท์ มหาสุวีระชัย รองผู้อำนวยการฝ่ายปฐมภูมิ โรงพยาบาลมุกดาหาร พร้อมด้วยบุคลากรทางการแพทย์ พยาบาล เจ้าหน้าที่สาธารณสุข รพ.สต.จัดหน่วยบริการเคลื่อนที่ออกให้บริการฉีดวัคซีนไฟเซอร์ ให้กับนักเรียนโรงเรียนผึ่งแดดวิทยาคาร ตำบลผึ่งแดด อำเภอเมือง จังหวัดมุกดาหาร และเป็นครั้งแรกที่มีการฉีดวัคซีนไฟเซอร์ให้กับนักเรียน ในพื้นที่จังหวัดมุกดาหาร โดยมีผู้ปกครองนำบุตรหลาน นักเรียน ชั้น ม.3-ชั้น ม.6 มารับการฉีดวัคซีนดังกล่าวจำนวน 390 คน
685,ที่สำนักงานสาธารณสุขจังหวัดนครพนม นายแพทย์ปรีดา วรหาร นายแพทย์สาธารณสุขจังหวัดนครพนม เปิดเผยว่า สถานการณ์ผู้ป่วยติดเชื้อของจังหวัดนครพนมในวันนี้ มี 5 ราย จํานวนผู้ติดเชื้อค่อนข้างน้อยลงตามลำดับ ส่วนผู้ป่วยเสียชีวิตคงที่ 27 รายเท่าเดิม ซึ่งถ้าดูตามสถานการณ์ถือว่าเป็นช่วงที่มีผู้ป่วยจำนวนน้อย จึงเป็นสัญญาณที่ดีที่เราจะสามารถทำกิจกรรมและใช้ชีวิตได้ตามปกติในอนาคตอันใกล้นี้ และสิ่งที่อยากนำเรียนประชาชนชาวนครพนมก็คือการฉีดวัคซีนเป็นหนทางหนึ่งที่จะทำให้เราจัดการกับภาวะโควิด -19 ได้
686,วันที่ 8 ตุลาคม 2564 ว่าที่ร้อยตรี ตระกูล โทธรรม รองผู้ว่าราชการจังหวัดปัตตานี ตรวจเยี่ยมการให้บริการฉีดวัคซีน Pfizer ในกลุ่มนักเรียน/นักศึกษา อายุ 12 ปีขึ้นไป ที่ศึกษาอยู่ในระดับมัธยมศึกษาหรือเทียบเท่า ณ หอประชุมองค์การบริหารส่วนจังหวัดปัตตานี
687,โครงการส่งน้ำและบำรุงรักษามูลล่าง (เขื่อนราษีไศล) สะพานแม่น้ำมูลราษีไศล และโรงพยาบาลราษีไศล อำเภอราษีไศล จังหวัดศรีสะเกษ นายวัฒนา พุฒิชาติ ผู้ว่าราชการจังหวัดศรีสะเกษ/ผู้อำนวยการศูนย์ป้องกันและบรรเทาสาธารณภัยจังหวัดศรีสะเกษ ตรวจติดตามสถานการณ์การระบายน้ำลำน้ำมูล ณ เขื่อนราษีไศล และสถานีวัดระดับน้ำ M5 สะพานราษีไศล ซึ่งการระบายน้ำยังคงไหลได้ต่อเนื่อง
688,"นางสาวรัชดา ธนาดิเรก รองโฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยถึงผลการดำเนินการรัฐบาลเริ่มเดินหน้าการฉีดวัคซีนไฟเซอร์ในเดือนตุลาคม 2564 ให้แก่นักเรียน นักศึกษา กลุ่มเป้าหมายที่มีอายุ 12-18 ปี ทุกคน ผ่านสถาบันการศึกษาว่า ขณะนี้มีผู้แจังความประสงค์เข้ารับการฉีดแล้วประมาณ 3.8 ล้านคน จากตัวเลขกลุ่มเป้าหมายมีอยู่ประมาณ 5 ล้านคน คิดเป็นร้อยละ 71  และคาดว่า มีตัวเลขผู้แจังความประสงค์ฉีดวัคซีนเพิ่มขึ้นต่อเนื่อง โดยการฉีดวัคซีนสะสมตั้งแต่วันที่ 7 ต.ค. มีนักเรียน ที่ได้รับการฉีดวัคซีนเข็มที่ 1 แล้วประมาณ 150,190 ราย ร้อยละ 3.3 และฉีดวัคซีนเข็มที่ 2 ไปแล้วประมาณ 1,825 ราย กระทรวงศึกษาธิการและกระทรวงสาธารณสุข จะเดินหน้าฉีดวัคซีนไฟเซอร์ให้แก่เด็ก/นักเรียน อย่างต่อเนื่อง"
689,‘นครพนม’ วันนี้ไม่พบป่วยโควิดฯ ‘แพทย์ใหญ่ปรีดา’ เชิญชวนฉีดวัคซีน ย้ำมีเพียงพอ-ปลอดภัย
690,"นพ.สาธารณสุขจังหวัดเพชรบุรี ยืนยันวัคซีนไฟเซอร์ มีจำนวนเพียงพอสำหรับนักเรียนทุกคนที่มีความประสงค์จะฉีด ภายในสัปดาห์หน้าจะให้ให้ครบ 100 % นายแพทย์เพชรฤกษ์ แทนสวัสดิ์ นายแพทย์สาธารณสุขจังหวัดเพชรบุรี กล่าวว่า จังหวัดเพชรบุรีฉีดวัคซีนไฟเซอร์ให้นักเรียนทุกสถาบัน รวม 26,000 กว่าคน จากยอดรวม 31,000 กว่าราย รวมยอดผู้สมัครใจฉีดประมาณ 80% ซึ่งรัฐบาลจัดซื้อไฟเซอร์สำหรับนักเรียนทุกคน ถ้านักเรียนได้รับการฉีดครบทุกคน ก็จะเป็นสิ่งบ่งบอกความมั่นใจว่านักเรียนจะมีภูมิต้านทาน ในการป้องกันโรคโควิด -19 ภายใต้การป้องกันตามมาตรการ DMHTTA ของกระทรวงสาธารณสุข จึงขอให้ผู้ที่ประสงค์จะฉีดวัคซีนแจ้งความประสงค์ต่อโรงเรียนต้นสังกัด จำนวนวัคซีน 50% แรกฉีดครบแล้ว และจะฉีดเข็มที่ 2 ใน 3 สัปดาห์ถัดไป โดยนโยบายของรัฐบาลและกระทรวงสาธารณสุขมีความตั้งใจที่จะฉีดให้นักเรียนทั่วประเทศ เพื่อที่จะเปิดเรียนได้เร็วขึ้น และวัคซีน 50 % หลังจะทยอยฉีดในสัปดาห์หน้าครบ 100 % ยืนยันว่าวัคซีนมีเพียงพอสำหรับนักเรียนที่ประสงค์ฉีดทุกคน"
691,ผู้นำศาสนา ร่วมสร้างภูมิคุ้มกันหมู่ฉีดเข็ม 2 ครบโดส ป้องกันโควิด ขณะ สสจ.ยะลา เผยภาพรวมฉีดวัคซีนคลอบคลุมทั้งจังหวัดแล้ว 58% เร่งเชิงรุก กระตุ้นฉีดวัคซีน เพื่อลดจำนวนผู้ป่วยเสียชีวิตเพิ่ม
692,วันนี้ (9 ต.ค.64) แพทย์หญิง กันตินันท์ มหาสุวีระชัย รองผู้อำนวยการฝ่ายปฐมภูมิ โรงพยาบาลมุกดาหาร พร้อมด้วย บุคลากรทางการแพทย์ และเจ้าหน้าที่สาธารณสุขอำเภอเมืองมุกดาหาร จัดหน่วยเคลื่อนที่ให้บริการฉีดวัคซีนไฟเซอร์ แก่นักเรียน วิทยาศาสตร์จุฬาภรณราชวิทยาลัยมุกดาหาร ณ หอประชุมโรงเรียน โดยมีนักเรียน ชั้นมัธยมศึกษาปีที่ 1 ถึงมัธยมศึกษาปีที่ 6 อายุ ตั้งแต่ 12-18 ปี ที่สมัครใจและได้รับการยินยอมจากผู้ปกครอง เข้ารับการฉีดวัคซีน จำนวน 390 คน
693,"ที่โรงเรียนวิเชียรมาตุ อ.เมืองตรัง ดร.สุมิตร สามห้วย ผู้อำนวยการโรงเรียนสภาราชินีจังหวัดตรัง นำนักเรียนระดับชั้นมัธยมศึกษาปีที่ 1- 6 กว่า 2,700 คน มารับการฉีดวัคซีน Pfizer เพื่อเป็นการสร้างภูมิคุ้มกันหมู่ ป้องกันโรคติดเชื้อไวรัสโคโรนา 2019 และเพื่อเป็นการป้องกันการเจ็บป่วยรุนแรงและการเสียชีวิตจากโรคดังกล่าว ทั้งนี้รัฐบาล โดยกระทรวงสาธารณสุข และกระทรวงศึกษาธิการ ได้จัดสรรวัคซีน Pfizer ในกลุ่มนักเรียน รับวัคซีน Pfizer กลุ่มอายุ 12 – 18 ปี ที่กำลังศึกษาศึกษาอยู่ในสถานศึกษาทุกสังกัด จากการสำรวจข้อมูล พบว่า นักเรียนกลุ่มดังกล่าวในจังหวัดตรัง มีทั้งสิ้น จำนวน 53,380 คน แจ้งความประสงค์รับวัคซีน จำนวน 43,634 คน โดยสำนักงานศึกษาธิการจังหวัดตรัง ได้รายงานข้อมูลไปยังสำนักงานปลัดกระทรวงศึกษาธิการ และสำนักงานสาธารณสุขจังหวัด เพื่อรับทราบจำนวนและจัดสรรวัคซีนให้แก่นักเรียน"
694,วันนี้ (9 ต.ค. 2564) ดร.สัญญา ศรีวิเชียร นายกเทศมนตรีนครตรัง มอบหมายให้ นายนิวรณ์ แสงวิสุทธิ์ รองนายกเทศมนตรีนครตรัง พร้อมด้วยสมาชิกสภาเทศบาลนครตรัง ผู้บริหารสถานศึกษาในสังกัดเทศบาลนครตรัง และคณะครู ตรวจเยี่ยมการฉีดวัคซีน Pfizer แก่นักเรียนในสังกัดเทศบาลนครตรัง ณ โรงเรียนวิเชียรมาตุ จังหวัดตรัง
695,"(9 ต.ค. 64) โรงพยาบาลตราด ร่วมกับสำนักงานสาธารณสุขจังหวัดตราด สำนักงานสาธารณสุขอำเภอเมืองตราด จัดหน่วยฉีดวัคซีนไฟเซอร์ เข็มแรก ให้กับเด็กนักเรียนโรงเรียนตราษตระการคุณ จำนวน 2,028 คน ที่ได้รับความยินยอมจากผู้ปกครองแล้ว จัดขึ้นที่อาคารหอประชุมโรงเรียนตราษตระการคุณ โดยการจัดฉีดวัคซีนในวันนี้มีการดำเนินการตามมาตรการป้องกันปัญหาการแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด -19) อย่างเคร่งครัด โดยให้ผู้ปกครองที่มาส่งเด็กนักเรียนได้บริเวณหน้าโรงเรียนเท่านั้น ซึ่งทางองค์การบริหารส่วนจังหวัดตราด ได้จัดรถให้บริการรับส่งเด็กนักเรียนภายในโรงเรียน รวมทั้งมีอาสาสมัครเหล่ากาชาดจังหวัดตราดปฏิบัติงานร่วมกับจิตอาสา 904 จังหวัดตราด เจ้าหน้าที่โรงพยาบาลตราด เจ้าหน้าที่สาธารณสุข ร่วมอำนวยความสะดวก ในขณะที่เจ้าหน้าที่อาสาสมัครรักษาดินแดนร่วมจัดระเบียบด้านการจราจร"
696,วันนี้ (9 ตุลาคม 2564) นายบุญชู จันทร์สุวรรณ นาย อบจ.สุพรรณบุรี มอบหมายให้นายเธียรินทร์ ปัทมนิรันดร์กุล รองปลัดองค์การบริหารส่วนจังหวัดสุพรรณบุรี พร้อมด้วยข้าราชการ และพนักงานองค์การบริหารส่วนจังหวัดสุพรรณบุรี อำนวยความสะดวกให้กับแพทย์ พยาบาล บุคลากรทางการแพทย์ และประชาชนที่เดินทางมาฉีดวัคซีนป้องกันโควิด-19 ณ ห้องประชุมใหญ่สำนักงานองค์การบริหารส่วนจังหวัดสุพรรณบุรี
697,"จังหวัดศรีสะเกษ โดย คณะผู้ปกครองนักเรียน นำบุตรหลานที่เป็นนักเรียน มาเข้าคิวรับการฉีดวัคซีนตามที่คณะอาจารย์นัดหมายให้มาฉีดที่โรงเรียน เบื้องต้นมีนักเรียนลงทะเบียนทั้ง 22 อำเภอ เพื่อจองฉีดวัคซีนแล้ว กว่า 70,000 คน"
698,"เมื่อวันที่ 8 ตุลาคม 2564 ที่ผ่านมา ที่โรงพยาบาลราษีไศล อำเภอราษีไศล จังหวัดศรีสะเกษ นายวัฒนา พุฒิชาติ ผู้ว่าราชการจังหวัดศรีสะเกษ ได้ลงพื้นที่ตรวจเยี่ยมให้กำลังใจแก่ แพทย์ พยาบาล เจ้าหน้าที่ บุคลากรทางการแพทย์ ในกิจกรรม Kick Off การฉีดวัคซีนป้องกันโรคโควิด-19 (Pfizer) ให้แก่นักเรียนที่มีอายุ 12-18 ปี “สร้างเกาะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม เขตสุขภาพที่ 10” โดยมี นายแพทย์สมชาย ภาณุมาสวิวัฒน์ ผู้อำนวยการโรงพยาบาลราษีใศล นายชัยยงค์ เมธาสุรวิทย์ นายอำเภอราษีไศล นายบุญประสงศ์ นวลสายย์ หัวหน้าสำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดศรีสะเกษ นายแพทย์ พยาบาล บุคลากรทางการแพทย์ของโรงพยาบาลราษีไศล และครู บุคลากรทางการศึกษา ผู้นำปกครองท้องถิ่นท้องที่นำตรวจเยี่ยมให้กำลังใจแก่ แพทย์ พยาบาล เจ้าหน้าที่ บุคลากรทางการแพทย์ในการปฏิบัติหน้าที่ทำการฉีดวัคซีนให้แก่นักเรียนวิทยาลัยเทคนิคราษีไศล จำนวน 3,200 โดส โดยแบ่งเป็นจำนวน 2 รอบ ในรอบแรก จำนวน 1,900 โดส และรอบที่ 2 จำนวน 1,300 โดส"
699,เมื่อเวลา 09.30 น. ณ หอประชุมโรงเรียนศรีรัตนวิทยา ต.สะพุง อ.ศรีรัตนะ จ.ศรีสะเกษนายภัทรนันท์ บุญมานัด นายอำเภอศรีรัตนะ พร้อมด้วย นายลำครอง ดวนใหญ่ สาธารณสุขอำเภอศรีรัตนะ นพ.พงศนาถ หาญเจริญพิพัฒน์ ผอ.รพ.ศรีรัตนะ นางบัวทอง บุญสน ผอ.กศน.อ.ศรีรัตนะ และผู้แทนศึกษาธิการจังหวัดศรีสะเกษ ได้ตรวจเยี่ยมให้กำลังใจบุคลากรทางการแพทย์ที่ปฏิบัติหน้าที่และลูกๆ นักเรียนที่เข้ารับการฉีดวัคซีนไฟเซอร์ เข็มที่ 1 ซึ่ง Kick off พร้อมกันทั้งจังหวัดศรีสะเกษ ตามนโยบายคณะกรรมการควบคุมโรคจังหวัดศรีสะเกษ จำนวน 679 คน
700,"จังหวัดศรีสะเกษ โดย คณะผู้ปกครองนักเรียน นำบุตรหลานที่เป็นนักเรียน มาเข้าคิวรับการฉีดวัคซีนตามที่คณะอาจารย์นัดหมายให้มาฉีดที่โรงเรียน เบื้องต้นมีนักเรียนลงทะเบียนทั้ง 22 อำเภอ เพื่อจองฉีดวัคซีนแล้ว กว่า 70,000 คน"
701,"วันที่ 9 ตุลาคม 2564 เวลา 08.39 น. นายแพทย์ปรีดา วรหาร นายแพทย์สาธารณสุขจังหวัดนครพนม รายงานสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 วันนี้จังหวัดนครพนมไม่มีรายงานพบผู้ป่วยยืนยัน รวมยอดผู้ติดเชื้อสะสม 4,927 ราย รักษาหายแล้ว 4,836 ราย กำลังรักษา 64 ราย รวมเสียชีวิตสะสม 27 ราย"
702,ความคืบหน้าการฉีดวัคซีนให้กับนักเรียน ก่อนการเรียนในระบบปกติที่โรงเรียน ในวันที่ 1 พ.ย.64
703,"โรงเรียนลำปางกัลยาณี ทำการ Kick off Pfizer in School ฉีดวัคซีนไฟเซอร์ให้กับนักเรียนระดับชั้น ม.4 - ม.6 ของโรงเรียนลำปางกัลยาณี จำนวน 1,528 คน ตามนโยบายกระทรวงศึกษาธิการ ในการเตรียมความพร้อมเปิดภาคเรียนที่ 2/2564 สถานศึกษาปลอดภัย เด็กนักเรียนได้รับวัคซีนถ้วนหน้า โดยความร่วมมือของกองควบคุมโรค สำนักงานสาธารณสุขจังหวัดลำปาง  และกลุ่มงานเวชกรรมสังคม โรงพยาบาลลำปาง"
704,"ที่อาคารบุญชูตรีทอง โรงเรียนบุญวาทย์วิทยาลัย อำเภอเมืองลำปาง โรงเรียนบุญวาทย์วิทยาลัย ทำการฉีดวัคซีนโควิด-19 ให้กับนักเรียนระดับชั้น ม.4 - ม.6 ของโรงเรียน จำนวน 1,684 คน ในกิจกรรม “Kick Off Pfizer in School สร้างเกราะป้องกันด้วยวัคซีน นักเรียนปลอดภัย อุ่นใจ ต้อนรับเปิดเทอม"" เพื่อเตรียมพร้อมก่อนเปิดภาคเรียน"
705,"นายแพทย์ชาญชัย จันทร์วรชัยกุล ผู้อำนวยการโรงพยาบาลร้อยเอ็ด พร้อมด้วยนายชาญ คำป้อง รองศึกษาธิการจังหวัดร้อยเอ็ด พร้อมคณะครู ผู้บริหาร ร่วมตรวจเยี่ยม การจัดบริการฉีดวัคซีนโควิด-19 ของโรงพยาบาลร้อยเอ็ด สำหรับเด็กนักเรียน อายุ 12-17 ปี 11 เดือน ในเขตอำเภอเมืองร้อยเอ็ด เข็มแรกไฟเซอร์ (Pfizer) จำนวน 19,715 คน ตามนโยบายของกระทรวงสาธารณสุข เพื่อเตรียมพร้อมสำหรับการเปิดภาคเรียนใหม่ โดยกำหนดฉีดวัคซีน ในระหว่างวันที่ 9 – 15 ตุลาคม 2564 ณ อาคารศูนย์ประชุมใหญ่และนิทรรศการ โรงแรมเพชรรัชต์การ์เด้น"
706,ศูนย์ฉีดวัคซีนโควิด 19 ศาลาประชาคมอำเภอห้วยยอด จังหวัดตรัง  เตรียมฉีดวัคซีนไฟเซอร์ให้กับเด็กอายุ 12 - 18 ปี ในวันที่ 14 ตุลาคม 2564
707,กระทรวงสาธารณสุขอิตาลี เริ่มดำเนินการฉีดวัคซีนโควิด-19 เข็มที่ 3 ของไฟเซอร์-ไบโอเอ็นเทค หรือ โมเดอร์นา ให้ประชาชนที่มีอายุ 60 ปี ขึ้นไป และผู้ที่มีภูมิคุ้มกันอ่อนแอ ตั้งแต่เมื่อวันเสาร์ที่ผ่านมา ตามเวลาท้องถิ่น เพื่อกระตุ้นภูมิคุ้มกันโรคโควิด-19 ให้ประชาชน หลังองค์การยาแห่งยุโรป อนุมัติให้ฉีดวัคซีนเข็มกระตุ้นแก่ผู้ที่มีอายุ 18 ปี ขึ้นไป ซึ่งฉีดวัคซีนเข็มที่ 2 มาแล้ว อย่างน้อย 6 เดือน
